Location,Year,Area,Price
Mohali Sec 125,2023,915,1790000.0
Mohali Sec 125,2022,915,1704761.9
Mohali Sec 125,2021,915,1623582.77
Mohali Sec 125,2020,915,1546269.3
Mohali Sec 125,2019,915,1472637.43
Mohali Sec 125,2018,915,1402511.84
Mohali Sec 125,2017,915,1335725.56
Mohali Sec 125,2016,915,1272119.58
Mohali Sec 125,2015,915,1211542.46
Mohali Sec 125,2014,915,1153849.96
Mohali Sec 125,2023,910,3090000.0
Mohali Sec 125,2022,910,2942857.14
Mohali Sec 125,2021,910,2802721.09
Mohali Sec 125,2020,910,2669258.18
Mohali Sec 125,2019,910,2542150.65
Mohali Sec 125,2018,910,2421095.85
Mohali Sec 125,2017,910,2305805.58
Mohali Sec 125,2016,910,2196005.31
Mohali Sec 125,2015,910,2091433.63
Mohali Sec 125,2014,910,1991841.55
Mohali Sec 125,2023,610,1890000.0
Mohali Sec 125,2022,610,1800000.0
Mohali Sec 125,2021,610,1714285.71
Mohali Sec 125,2020,610,1632653.06
Mohali Sec 125,2019,610,1554907.68
Mohali Sec 125,2018,610,1480864.45
Mohali Sec 125,2017,610,1410347.1
Mohali Sec 125,2016,610,1343187.71
Mohali Sec 125,2015,610,1279226.39
Mohali Sec 125,2014,610,1218310.85
Mohali Sector 127,2023,599,1490000.0
Mohali Sector 127,2022,599,1419047.62
Mohali Sector 127,2021,599,1351473.92
Mohali Sector 127,2020,599,1287118.02
Mohali Sector 127,2019,599,1225826.69
Mohali Sector 127,2018,599,1167453.99
Mohali Sector 127,2017,599,1111860.94
Mohali Sector 127,2016,599,1058915.18
Mohali Sector 127,2015,599,1008490.65
Mohali Sector 127,2014,599,960467.29
Mohali Sector 127,2023,550,1690000.0
Mohali Sector 127,2022,550,1609523.81
Mohali Sector 127,2021,550,1532879.82
Mohali Sector 127,2020,550,1459885.54
Mohali Sector 127,2019,550,1390367.18
Mohali Sector 127,2018,550,1324159.22
Mohali Sector 127,2017,550,1261104.02
Mohali Sector 127,2016,550,1201051.45
Mohali Sector 127,2015,550,1143858.52
Mohali Sector 127,2014,550,1089389.07
Mohali Sec 125,2023,588,1555000.0
Mohali Sec 125,2022,588,1480952.38
Mohali Sec 125,2021,588,1410430.84
Mohali Sec 125,2020,588,1343267.47
Mohali Sec 125,2019,588,1279302.35
Mohali Sec 125,2018,588,1218383.19
Mohali Sec 125,2017,588,1160364.94
Mohali Sec 125,2016,588,1105109.47
Mohali Sec 125,2015,588,1052485.21
Mohali Sec 125,2014,588,1002366.86
Mohali Sector 127,2023,915,1990000.0
Mohali Sector 127,2022,915,1895238.1
Mohali Sector 127,2021,915,1804988.66
Mohali Sector 127,2020,915,1719036.82
Mohali Sector 127,2019,915,1637177.92
Mohali Sector 127,2018,915,1559217.07
Mohali Sector 127,2017,915,1484968.64
Mohali Sector 127,2016,915,1414255.85
Mohali Sector 127,2015,915,1346910.33
Mohali Sector 127,2014,915,1282771.74
Mohali Sector 127,2023,951,1890000.0
Mohali Sector 127,2022,951,1800000.0
Mohali Sector 127,2021,951,1714285.71
Mohali Sector 127,2020,951,1632653.06
Mohali Sector 127,2019,951,1554907.68
Mohali Sector 127,2018,951,1480864.45
Mohali Sector 127,2017,951,1410347.1
Mohali Sector 127,2016,951,1343187.71
Mohali Sector 127,2015,951,1279226.39
Mohali Sector 127,2014,951,1218310.85
Mohali Sector 127,2023,915,1890000.0
Mohali Sector 127,2022,915,1800000.0
Mohali Sector 127,2021,915,1714285.71
Mohali Sector 127,2020,915,1632653.06
Mohali Sector 127,2019,915,1554907.68
Mohali Sector 127,2018,915,1480864.45
Mohali Sector 127,2017,915,1410347.1
Mohali Sector 127,2016,915,1343187.71
Mohali Sector 127,2015,915,1279226.39
Mohali Sector 127,2014,915,1218310.85
Mohali Sector 127,2023,980,1750000.0
Mohali Sector 127,2022,980,1666666.67
Mohali Sector 127,2021,980,1587301.59
Mohali Sector 127,2020,980,1511715.8
Mohali Sector 127,2019,980,1439729.33
Mohali Sector 127,2018,980,1371170.79
Mohali Sector 127,2017,980,1305876.94
Mohali Sector 127,2016,980,1243692.33
Mohali Sector 127,2015,980,1184468.88
Mohali Sector 127,2014,980,1128065.6
Mohali Sector 127,2023,915,1850000.0
Mohali Sector 127,2022,915,1761904.76
Mohali Sector 127,2021,915,1678004.54
Mohali Sector 127,2020,915,1598099.56
Mohali Sector 127,2019,915,1521999.58
Mohali Sector 127,2018,915,1449523.41
Mohali Sector 127,2017,915,1380498.48
Mohali Sector 127,2016,915,1314760.46
Mohali Sector 127,2015,915,1252152.82
Mohali Sector 127,2014,915,1192526.5
Mohali Sector 127,2023,510,1450000.0
Mohali Sector 127,2022,510,1380952.38
Mohali Sector 127,2021,510,1315192.74
Mohali Sector 127,2020,510,1252564.52
Mohali Sector 127,2019,510,1192918.59
Mohali Sector 127,2018,510,1136112.94
Mohali Sector 127,2017,510,1082012.33
Mohali Sector 127,2016,510,1030487.93
Mohali Sector 127,2015,510,981417.07
Mohali Sector 127,2014,510,934682.93
SEC 115 MOHALI KHARAR LANDRAN ROAD,2023,510,1490000.0
SEC 115 MOHALI KHARAR LANDRAN ROAD,2022,510,1419047.62
SEC 115 MOHALI KHARAR LANDRAN ROAD,2021,510,1351473.92
SEC 115 MOHALI KHARAR LANDRAN ROAD,2020,510,1287118.02
SEC 115 MOHALI KHARAR LANDRAN ROAD,2019,510,1225826.69
SEC 115 MOHALI KHARAR LANDRAN ROAD,2018,510,1167453.99
SEC 115 MOHALI KHARAR LANDRAN ROAD,2017,510,1111860.94
SEC 115 MOHALI KHARAR LANDRAN ROAD,2016,510,1058915.18
SEC 115 MOHALI KHARAR LANDRAN ROAD,2015,510,1008490.65
SEC 115 MOHALI KHARAR LANDRAN ROAD,2014,510,960467.29
Mohali Sec 125,2023,510,1690000.0
Mohali Sec 125,2022,510,1609523.81
Mohali Sec 125,2021,510,1532879.82
Mohali Sec 125,2020,510,1459885.54
Mohali Sec 125,2019,510,1390367.18
Mohali Sec 125,2018,510,1324159.22
Mohali Sec 125,2017,510,1261104.02
Mohali Sec 125,2016,510,1201051.45
Mohali Sec 125,2015,510,1143858.52
Mohali Sec 125,2014,510,1089389.07
SEC 115 MOHALI KHARAR LANDRAN ROAD,2023,510,1590000.0
SEC 115 MOHALI KHARAR LANDRAN ROAD,2022,510,1514285.71
SEC 115 MOHALI KHARAR LANDRAN ROAD,2021,510,1442176.87
SEC 115 MOHALI KHARAR LANDRAN ROAD,2020,510,1373501.78
SEC 115 MOHALI KHARAR LANDRAN ROAD,2019,510,1308096.93
SEC 115 MOHALI KHARAR LANDRAN ROAD,2018,510,1245806.6
SEC 115 MOHALI KHARAR LANDRAN ROAD,2017,510,1186482.48
SEC 115 MOHALI KHARAR LANDRAN ROAD,2016,510,1129983.31
SEC 115 MOHALI KHARAR LANDRAN ROAD,2015,510,1076174.59
SEC 115 MOHALI KHARAR LANDRAN ROAD,2014,510,1024928.18
Mohali Sector 127,2023,555,1490000.0
Mohali Sector 127,2022,555,1419047.62
Mohali Sector 127,2021,555,1351473.92
Mohali Sector 127,2020,555,1287118.02
Mohali Sector 127,2019,555,1225826.69
Mohali Sector 127,2018,555,1167453.99
Mohali Sector 127,2017,555,1111860.94
Mohali Sector 127,2016,555,1058915.18
Mohali Sector 127,2015,555,1008490.65
Mohali Sector 127,2014,555,960467.29
Mohali Sector 127,2023,510,1490000.0
Mohali Sector 127,2022,510,1419047.62
Mohali Sector 127,2021,510,1351473.92
Mohali Sector 127,2020,510,1287118.02
Mohali Sector 127,2019,510,1225826.69
Mohali Sector 127,2018,510,1167453.99
Mohali Sector 127,2017,510,1111860.94
Mohali Sector 127,2016,510,1058915.18
Mohali Sector 127,2015,510,1008490.65
Mohali Sector 127,2014,510,960467.29
Mohali Sector 127,2023,900,1890000.0
Mohali Sector 127,2022,900,1800000.0
Mohali Sector 127,2021,900,1714285.71
Mohali Sector 127,2020,900,1632653.06
Mohali Sector 127,2019,900,1554907.68
Mohali Sector 127,2018,900,1480864.45
Mohali Sector 127,2017,900,1410347.1
Mohali Sector 127,2016,900,1343187.71
Mohali Sector 127,2015,900,1279226.39
Mohali Sector 127,2014,900,1218310.85
Mohali Sector 127,2023,910,1790000.0
Mohali Sector 127,2022,910,1704761.9
Mohali Sector 127,2021,910,1623582.77
Mohali Sector 127,2020,910,1546269.3
Mohali Sector 127,2019,910,1472637.43
Mohali Sector 127,2018,910,1402511.84
Mohali Sector 127,2017,910,1335725.56
Mohali Sector 127,2016,910,1272119.58
Mohali Sector 127,2015,910,1211542.46
Mohali Sector 127,2014,910,1153849.96
Mohali Sector 127,2023,570,2290000.0
Mohali Sector 127,2022,570,2180952.38
Mohali Sector 127,2021,570,2077097.51
Mohali Sector 127,2020,570,1978188.1
Mohali Sector 127,2019,570,1883988.67
Mohali Sector 127,2018,570,1794274.92
Mohali Sector 127,2017,570,1708833.26
Mohali Sector 127,2016,570,1627460.25
Mohali Sector 127,2015,570,1549962.14
Mohali Sector 127,2014,570,1476154.42
Mohali Sector 127,2023,600,1790000.0
Mohali Sector 127,2022,600,1704761.9
Mohali Sector 127,2021,600,1623582.77
Mohali Sector 127,2020,600,1546269.3
Mohali Sector 127,2019,600,1472637.43
Mohali Sector 127,2018,600,1402511.84
Mohali Sector 127,2017,600,1335725.56
Mohali Sector 127,2016,600,1272119.58
Mohali Sector 127,2015,600,1211542.46
Mohali Sector 127,2014,600,1153849.96
Mohali Sector 127,2023,550,1490000.0
Mohali Sector 127,2022,550,1419047.62
Mohali Sector 127,2021,550,1351473.92
Mohali Sector 127,2020,550,1287118.02
Mohali Sector 127,2019,550,1225826.69
Mohali Sector 127,2018,550,1167453.99
Mohali Sector 127,2017,550,1111860.94
Mohali Sector 127,2016,550,1058915.18
Mohali Sector 127,2015,550,1008490.65
Mohali Sector 127,2014,550,960467.29
Mohali Sector 127,2023,1055,2290000.0
Mohali Sector 127,2022,1055,2180952.38
Mohali Sector 127,2021,1055,2077097.51
Mohali Sector 127,2020,1055,1978188.1
Mohali Sector 127,2019,1055,1883988.67
Mohali Sector 127,2018,1055,1794274.92
Mohali Sector 127,2017,1055,1708833.26
Mohali Sector 127,2016,1055,1627460.25
Mohali Sector 127,2015,1055,1549962.14
Mohali Sector 127,2014,1055,1476154.42
Mohali Sector 127,2023,1350,3590000.0
Mohali Sector 127,2022,1350,3419047.62
Mohali Sector 127,2021,1350,3256235.83
Mohali Sector 127,2020,1350,3101176.98
Mohali Sector 127,2019,1350,2953501.88
Mohali Sector 127,2018,1350,2812858.94
Mohali Sector 127,2017,1350,2678913.27
Mohali Sector 127,2016,1350,2551345.98
Mohali Sector 127,2015,1350,2429853.31
Mohali Sector 127,2014,1350,2314146.01
IT Park Road,2023,4500,35000000.0
IT Park Road,2022,4500,33333333.33
IT Park Road,2021,4500,31746031.75
IT Park Road,2020,4500,30234315.95
IT Park Road,2019,4500,28794586.62
IT Park Road,2018,4500,27423415.83
IT Park Road,2017,4500,26117538.88
IT Park Road,2016,4500,24873846.55
IT Park Road,2015,4500,23689377.67
IT Park Road,2014,4500,22561312.07
IT Park Road,2023,4500,32500000.0
IT Park Road,2022,4500,30952380.95
IT Park Road,2021,4500,29478458.05
IT Park Road,2020,4500,28074721.95
IT Park Road,2019,4500,26737830.43
IT Park Road,2018,4500,25464600.41
IT Park Road,2017,4500,24252000.39
IT Park Road,2016,4500,23097143.23
IT Park Road,2015,4500,21997279.27
IT Park Road,2014,4500,20949789.78
IT Park Road,2023,4500,30000000.0
IT Park Road,2022,4500,28571428.57
IT Park Road,2021,4500,27210884.35
IT Park Road,2020,4500,25915127.96
IT Park Road,2019,4500,24681074.24
IT Park Road,2018,4500,23505784.99
IT Park Road,2017,4500,22386461.9
IT Park Road,2016,4500,21320439.9
IT Park Road,2015,4500,20305180.86
IT Park Road,2014,4500,19338267.49
Dhakoli,2023,1200,4090000.0
Dhakoli,2022,1200,3895238.1
Dhakoli,2021,1200,3709750.57
Dhakoli,2020,1200,3533095.78
Dhakoli,2019,1200,3364853.12
Dhakoli,2018,1200,3204622.02
Dhakoli,2017,1200,3052020.97
Dhakoli,2016,1200,2906686.64
Dhakoli,2015,1200,2768272.99
Dhakoli,2014,1200,2636450.47
Dhakoli,2023,1125,3990000.0
Dhakoli,2022,1125,3800000.0
Dhakoli,2021,1125,3619047.62
Dhakoli,2020,1125,3446712.02
Dhakoli,2019,1125,3282582.87
Dhakoli,2018,1125,3126269.4
Dhakoli,2017,1125,2977399.43
Dhakoli,2016,1125,2835618.51
Dhakoli,2015,1125,2700589.05
Dhakoli,2014,1125,2571989.58
Dhakoli,2023,1800,4790000.0
Dhakoli,2022,1800,4561904.76
Dhakoli,2021,1800,4344671.2
Dhakoli,2020,1800,4137782.1
Dhakoli,2019,1800,3940744.85
Dhakoli,2018,1800,3753090.34
Dhakoli,2017,1800,3574371.75
Dhakoli,2016,1800,3404163.57
Dhakoli,2015,1800,3242060.54
Dhakoli,2014,1800,3087676.71
Dhakoli,2023,1125,4190000.0
Dhakoli,2022,1125,3990476.19
Dhakoli,2021,1125,3800453.51
Dhakoli,2020,1125,3619479.54
Dhakoli,2019,1125,3447123.37
Dhakoli,2018,1125,3282974.64
Dhakoli,2017,1125,3126642.51
Dhakoli,2016,1125,2977754.77
Dhakoli,2015,1125,2835956.93
Dhakoli,2014,1125,2700911.36
Dhakoli,2023,1125,3990000.0
Dhakoli,2022,1125,3800000.0
Dhakoli,2021,1125,3619047.62
Dhakoli,2020,1125,3446712.02
Dhakoli,2019,1125,3282582.87
Dhakoli,2018,1125,3126269.4
Dhakoli,2017,1125,2977399.43
Dhakoli,2016,1125,2835618.51
Dhakoli,2015,1125,2700589.05
Dhakoli,2014,1125,2571989.58
Dhakoli,2023,1200,4090000.0
Dhakoli,2022,1200,3895238.1
Dhakoli,2021,1200,3709750.57
Dhakoli,2020,1200,3533095.78
Dhakoli,2019,1200,3364853.12
Dhakoli,2018,1200,3204622.02
Dhakoli,2017,1200,3052020.97
Dhakoli,2016,1200,2906686.64
Dhakoli,2015,1200,2768272.99
Dhakoli,2014,1200,2636450.47
Dhakoli,2023,1125,4190000.0
Dhakoli,2022,1125,3990476.19
Dhakoli,2021,1125,3800453.51
Dhakoli,2020,1125,3619479.54
Dhakoli,2019,1125,3447123.37
Dhakoli,2018,1125,3282974.64
Dhakoli,2017,1125,3126642.51
Dhakoli,2016,1125,2977754.77
Dhakoli,2015,1125,2835956.93
Dhakoli,2014,1125,2700911.36
Dhakoli,2023,1800,4790000.0
Dhakoli,2022,1800,4561904.76
Dhakoli,2021,1800,4344671.2
Dhakoli,2020,1800,4137782.1
Dhakoli,2019,1800,3940744.85
Dhakoli,2018,1800,3753090.34
Dhakoli,2017,1800,3574371.75
Dhakoli,2016,1800,3404163.57
Dhakoli,2015,1800,3242060.54
Dhakoli,2014,1800,3087676.71
Dhakoli,2023,1125,3990000.0
Dhakoli,2022,1125,3800000.0
Dhakoli,2021,1125,3619047.62
Dhakoli,2020,1125,3446712.02
Dhakoli,2019,1125,3282582.87
Dhakoli,2018,1125,3126269.4
Dhakoli,2017,1125,2977399.43
Dhakoli,2016,1125,2835618.51
Dhakoli,2015,1125,2700589.05
Dhakoli,2014,1125,2571989.58
Dhakoli,2023,1200,4090000.0
Dhakoli,2022,1200,3895238.1
Dhakoli,2021,1200,3709750.57
Dhakoli,2020,1200,3533095.78
Dhakoli,2019,1200,3364853.12
Dhakoli,2018,1200,3204622.02
Dhakoli,2017,1200,3052020.97
Dhakoli,2016,1200,2906686.64
Dhakoli,2015,1200,2768272.99
Dhakoli,2014,1200,2636450.47
Dhakoli,2023,1125,4190000.0
Dhakoli,2022,1125,3990476.19
Dhakoli,2021,1125,3800453.51
Dhakoli,2020,1125,3619479.54
Dhakoli,2019,1125,3447123.37
Dhakoli,2018,1125,3282974.64
Dhakoli,2017,1125,3126642.51
Dhakoli,2016,1125,2977754.77
Dhakoli,2015,1125,2835956.93
Dhakoli,2014,1125,2700911.36
Dhakoli,2023,1800,4790000.0
Dhakoli,2022,1800,4561904.76
Dhakoli,2021,1800,4344671.2
Dhakoli,2020,1800,4137782.1
Dhakoli,2019,1800,3940744.85
Dhakoli,2018,1800,3753090.34
Dhakoli,2017,1800,3574371.75
Dhakoli,2016,1800,3404163.57
Dhakoli,2015,1800,3242060.54
Dhakoli,2014,1800,3087676.71
Highland Marg,2023,1368,3690000.0
Highland Marg,2022,1368,3514285.71
Highland Marg,2021,1368,3346938.78
Highland Marg,2020,1368,3187560.74
Highland Marg,2019,1368,3035772.13
Highland Marg,2018,1368,2891211.55
Highland Marg,2017,1368,2753534.81
Highland Marg,2016,1368,2622414.11
Highland Marg,2015,1368,2497537.25
Highland Marg,2014,1368,2378606.9
Mohali Sector 127,2023,930,2750000.0
Mohali Sector 127,2022,930,2619047.62
Mohali Sector 127,2021,930,2494331.07
Mohali Sector 127,2020,930,2375553.4
Mohali Sector 127,2019,930,2262431.81
Mohali Sector 127,2018,930,2154696.96
Mohali Sector 127,2017,930,2052092.34
Mohali Sector 127,2016,930,1954373.66
Mohali Sector 127,2015,930,1861308.25
Mohali Sector 127,2014,930,1772674.52
SEC 115 MOHALI KHARAR LANDRAN ROAD,2023,600,1890000.0
SEC 115 MOHALI KHARAR LANDRAN ROAD,2022,600,1800000.0
SEC 115 MOHALI KHARAR LANDRAN ROAD,2021,600,1714285.71
SEC 115 MOHALI KHARAR LANDRAN ROAD,2020,600,1632653.06
SEC 115 MOHALI KHARAR LANDRAN ROAD,2019,600,1554907.68
SEC 115 MOHALI KHARAR LANDRAN ROAD,2018,600,1480864.45
SEC 115 MOHALI KHARAR LANDRAN ROAD,2017,600,1410347.1
SEC 115 MOHALI KHARAR LANDRAN ROAD,2016,600,1343187.71
SEC 115 MOHALI KHARAR LANDRAN ROAD,2015,600,1279226.39
SEC 115 MOHALI KHARAR LANDRAN ROAD,2014,600,1218310.85
SEC 115 MOHALI KHARAR LANDRAN ROAD,2023,495,1590000.0
SEC 115 MOHALI KHARAR LANDRAN ROAD,2022,495,1514285.71
SEC 115 MOHALI KHARAR LANDRAN ROAD,2021,495,1442176.87
SEC 115 MOHALI KHARAR LANDRAN ROAD,2020,495,1373501.78
SEC 115 MOHALI KHARAR LANDRAN ROAD,2019,495,1308096.93
SEC 115 MOHALI KHARAR LANDRAN ROAD,2018,495,1245806.6
SEC 115 MOHALI KHARAR LANDRAN ROAD,2017,495,1186482.48
SEC 115 MOHALI KHARAR LANDRAN ROAD,2016,495,1129983.31
SEC 115 MOHALI KHARAR LANDRAN ROAD,2015,495,1076174.59
SEC 115 MOHALI KHARAR LANDRAN ROAD,2014,495,1024928.18
Mohali Sector 127,2023,930,2750000.0
Mohali Sector 127,2022,930,2619047.62
Mohali Sector 127,2021,930,2494331.07
Mohali Sector 127,2020,930,2375553.4
Mohali Sector 127,2019,930,2262431.81
Mohali Sector 127,2018,930,2154696.96
Mohali Sector 127,2017,930,2052092.34
Mohali Sector 127,2016,930,1954373.66
Mohali Sector 127,2015,930,1861308.25
Mohali Sector 127,2014,930,1772674.52
DLF Mullanpur,2023,2250,9390000.0
DLF Mullanpur,2022,2250,8942857.14
DLF Mullanpur,2021,2250,8517006.8
DLF Mullanpur,2020,2250,8111435.05
DLF Mullanpur,2019,2250,7725176.24
DLF Mullanpur,2018,2250,7357310.7
DLF Mullanpur,2017,2250,7006962.57
DLF Mullanpur,2016,2250,6673297.69
DLF Mullanpur,2015,2250,6355521.61
DLF Mullanpur,2014,2250,6052877.72
SEC 115 MOHALI KHARAR LANDRAN ROAD,2023,675,1790000.0
SEC 115 MOHALI KHARAR LANDRAN ROAD,2022,675,1704761.9
SEC 115 MOHALI KHARAR LANDRAN ROAD,2021,675,1623582.77
SEC 115 MOHALI KHARAR LANDRAN ROAD,2020,675,1546269.3
SEC 115 MOHALI KHARAR LANDRAN ROAD,2019,675,1472637.43
SEC 115 MOHALI KHARAR LANDRAN ROAD,2018,675,1402511.84
SEC 115 MOHALI KHARAR LANDRAN ROAD,2017,675,1335725.56
SEC 115 MOHALI KHARAR LANDRAN ROAD,2016,675,1272119.58
SEC 115 MOHALI KHARAR LANDRAN ROAD,2015,675,1211542.46
SEC 115 MOHALI KHARAR LANDRAN ROAD,2014,675,1153849.96
Mohali Sector 127,2023,900,2990000.0
Mohali Sector 127,2022,900,2847619.05
Mohali Sector 127,2021,900,2712018.14
Mohali Sector 127,2020,900,2582874.42
Mohali Sector 127,2019,900,2459880.4
Mohali Sector 127,2018,900,2342743.24
Mohali Sector 127,2017,900,2231184.04
Mohali Sector 127,2016,900,2124937.18
Mohali Sector 127,2015,900,2023749.69
Mohali Sector 127,2014,900,1927380.66
Mohali Sector 127,2023,675,1890000.0
Mohali Sector 127,2022,675,1800000.0
Mohali Sector 127,2021,675,1714285.71
Mohali Sector 127,2020,675,1632653.06
Mohali Sector 127,2019,675,1554907.68
Mohali Sector 127,2018,675,1480864.45
Mohali Sector 127,2017,675,1410347.1
Mohali Sector 127,2016,675,1343187.71
Mohali Sector 127,2015,675,1279226.39
Mohali Sector 127,2014,675,1218310.85
SEC 115 MOHALI KHARAR LANDRAN ROAD,2023,1053,2890000.0
SEC 115 MOHALI KHARAR LANDRAN ROAD,2022,1053,2752380.95
SEC 115 MOHALI KHARAR LANDRAN ROAD,2021,1053,2621315.19
SEC 115 MOHALI KHARAR LANDRAN ROAD,2020,1053,2496490.66
SEC 115 MOHALI KHARAR LANDRAN ROAD,2019,1053,2377610.15
SEC 115 MOHALI KHARAR LANDRAN ROAD,2018,1053,2264390.62
SEC 115 MOHALI KHARAR LANDRAN ROAD,2017,1053,2156562.5
SEC 115 MOHALI KHARAR LANDRAN ROAD,2016,1053,2053869.04
SEC 115 MOHALI KHARAR LANDRAN ROAD,2015,1053,1956065.76
SEC 115 MOHALI KHARAR LANDRAN ROAD,2014,1053,1862919.77
DLF Mullanpur,2023,2385,8990000.0
DLF Mullanpur,2022,2385,8561904.76
DLF Mullanpur,2021,2385,8154195.01
DLF Mullanpur,2020,2385,7765900.01
DLF Mullanpur,2019,2385,7396095.25
DLF Mullanpur,2018,2385,7043900.24
DLF Mullanpur,2017,2385,6708476.42
DLF Mullanpur,2016,2385,6389025.16
DLF Mullanpur,2015,2385,6084785.86
DLF Mullanpur,2014,2385,5795034.16
Chandigarh Airport Area,2023,540,1690000.0
Chandigarh Airport Area,2022,540,1609523.81
Chandigarh Airport Area,2021,540,1532879.82
Chandigarh Airport Area,2020,540,1459885.54
Chandigarh Airport Area,2019,540,1390367.18
Chandigarh Airport Area,2018,540,1324159.22
Chandigarh Airport Area,2017,540,1261104.02
Chandigarh Airport Area,2016,540,1201051.45
Chandigarh Airport Area,2015,540,1143858.52
Chandigarh Airport Area,2014,540,1089389.07
Chandigarh Airport Area,2023,810,2490000.0
Chandigarh Airport Area,2022,810,2371428.57
Chandigarh Airport Area,2021,810,2258503.4
Chandigarh Airport Area,2020,810,2150955.62
Chandigarh Airport Area,2019,810,2048529.16
Chandigarh Airport Area,2018,810,1950980.15
Chandigarh Airport Area,2017,810,1858076.34
Chandigarh Airport Area,2016,810,1769596.51
Chandigarh Airport Area,2015,810,1685330.01
Chandigarh Airport Area,2014,810,1605076.2
SEC 115 MOHALI KHARAR LANDRAN ROAD,2023,495,1590000.0
SEC 115 MOHALI KHARAR LANDRAN ROAD,2022,495,1514285.71
SEC 115 MOHALI KHARAR LANDRAN ROAD,2021,495,1442176.87
SEC 115 MOHALI KHARAR LANDRAN ROAD,2020,495,1373501.78
SEC 115 MOHALI KHARAR LANDRAN ROAD,2019,495,1308096.93
SEC 115 MOHALI KHARAR LANDRAN ROAD,2018,495,1245806.6
SEC 115 MOHALI KHARAR LANDRAN ROAD,2017,495,1186482.48
SEC 115 MOHALI KHARAR LANDRAN ROAD,2016,495,1129983.31
SEC 115 MOHALI KHARAR LANDRAN ROAD,2015,495,1076174.59
SEC 115 MOHALI KHARAR LANDRAN ROAD,2014,495,1024928.18
Mohali Sector 127,2023,810,2490000.0
Mohali Sector 127,2022,810,2371428.57
Mohali Sector 127,2021,810,2258503.4
Mohali Sector 127,2020,810,2150955.62
Mohali Sector 127,2019,810,2048529.16
Mohali Sector 127,2018,810,1950980.15
Mohali Sector 127,2017,810,1858076.34
Mohali Sector 127,2016,810,1769596.51
Mohali Sector 127,2015,810,1685330.01
Mohali Sector 127,2014,810,1605076.2
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,2023,1100,3200000.0
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,2022,1100,3047619.05
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,2021,1100,2902494.33
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,2020,1100,2764280.32
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,2019,1100,2632647.92
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,2018,1100,2507283.73
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,2017,1100,2387889.27
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,2016,1100,2274180.26
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,2015,1100,2165885.96
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,2014,1100,2062748.53
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,2023,1350,3900000.0
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,2022,1350,3714285.71
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,2021,1350,3537414.97
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,2020,1350,3368966.63
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,2019,1350,3208539.65
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,2018,1350,3055752.05
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,2017,1350,2910240.05
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,2016,1350,2771657.19
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,2015,1350,2639673.51
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,2014,1350,2513974.77
Togan,2023,2385,8490000.0
Togan,2022,2385,8085714.29
Togan,2021,2385,7700680.27
Togan,2020,2385,7333981.21
Togan,2019,2385,6984744.01
Togan,2018,2385,6652137.15
Togan,2017,2385,6335368.72
Togan,2016,2385,6033684.49
Togan,2015,2385,5746366.18
Togan,2014,2385,5472729.7
Togan,2023,2250,7890000.0
Togan,2022,2250,7514285.71
Togan,2021,2250,7156462.59
Togan,2020,2250,6815678.65
Togan,2019,2250,6491122.53
Togan,2018,2250,6182021.45
Togan,2017,2250,5887639.48
Togan,2016,2250,5607275.69
Togan,2015,2250,5340262.57
Togan,2014,2250,5085964.35
Mohali Sector 127,2023,540,1690000.0
Mohali Sector 127,2022,540,1609523.81
Mohali Sector 127,2021,540,1532879.82
Mohali Sector 127,2020,540,1459885.54
Mohali Sector 127,2019,540,1390367.18
Mohali Sector 127,2018,540,1324159.22
Mohali Sector 127,2017,540,1261104.02
Mohali Sector 127,2016,540,1201051.45
Mohali Sector 127,2015,540,1143858.52
Mohali Sector 127,2014,540,1089389.07
kharar landran road,2023,970,2490000.0
kharar landran road,2022,970,2371428.57
kharar landran road,2021,970,2258503.4
kharar landran road,2020,970,2150955.62
kharar landran road,2019,970,2048529.16
kharar landran road,2018,970,1950980.15
kharar landran road,2017,970,1858076.34
kharar landran road,2016,970,1769596.51
kharar landran road,2015,970,1685330.01
kharar landran road,2014,970,1605076.2
sector 5 Mubarikpur road derabassi,2023,1200,2475000.0
sector 5 Mubarikpur road derabassi,2022,1200,2357142.86
sector 5 Mubarikpur road derabassi,2021,1200,2244897.96
sector 5 Mubarikpur road derabassi,2020,1200,2137998.06
sector 5 Mubarikpur road derabassi,2019,1200,2036188.63
